Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7388207,Tatlı Rüyalar,Alper Canıgüz,"Canıgüz, Alper",,"=""975470788X""","=""9789754707885""",4,3.94,İletişim Yayınları,Paperback,186,2000,2000,,2015/06/02,,,read,,,,1,0
6767469,Bugünü Yaşama Arzusu: Schopenhauer Tedavisi,Irvin D. Yalom,"Yalom, Irvin D.",Zeliha İyidoğan Babayiğit,"=""9759770067""","=""""",3,4.27,Kabalcı Yayınevi,Paperback,432,2005,2000,,2015/06/02,,,read,,,,1,0
13618069,Erdemle Kırbaçlanan Kadın,Marquis de Sade,"Sade, Marquis de",,"=""9753292341""","=""9789753292344""",3,3.42,Oğlak Yayınları,Paperback,194,2000,1787,,2015/06/02,,,read,,,,1,0
7388232,"Oğullar ve Rencide Ruhlar (Alper Kamu, #1)",Alper Canıgüz,"Canıgüz, Alper",,"=""9750502051""","=""9789750502057""",5,4.17,İletişim Yayınları,Paperback,204,2004,2004,,2015/06/02,,,read,,,,1,0
7284486,İsa Bu Köye Uğramadı,Carlo Levi,"Levi, Carlo","Sabahattin Eyüboğlu, Italo Calvino, Jean-Paul Sartre","=""6055819112""","=""9786055819118""",4,4.10,Helikopter,Paperback,224,2009,1945,,2015/06/02,,,read,,,,1,0
8960248,Sicilya Konuşmaları,Elio Vittorini,"Vittorini, Elio",Gönül Çapan,"=""6055819147""","=""9786055819149""",3,3.72,Helikopter,Paperback,188,2009,1941,,2015/06/02,,,read,,,,1,0
21548547,Kent ve Tuz,Gore Vidal,"Vidal, Gore",Fatih Özgüven,"=""6055819163""","=""9786055819163""",4,3.84,Helikopter,Paperback,212,2010,1948,,2015/06/02,,,read,,,,1,0
10576534,Düşman,J.M. Coetzee,"Coetzee, J.M.",Nihal Geyran Koldaş,"=""""","=""""",3,3.42,Adam Yayıncılık,Paperback,127,1990,1986,,2015/06/02,,,read,,,,1,0
9437698,Bugünlerde Bahar İndi,Yaşar Kemal,"Kemal, Yaşar",,"=""9750818628""","=""9789750818622""",4,3.98,Yapı Kredi Yayınları,Hardcover,120,2010,2010,,2015/06/02,,,read,,,,1,0
23597569,Günah,Hesenê Metê,"Metê, Hesenê",,"=""6053750107""","=""9786053750109""",3,4.00,İthaki,Paperback,158,2009,2009,,2015/06/02,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.93,Scribner,Paperback,180,1925,1925,,2015/06/02,,,read,,,,1,0
16151182,Sahilde Kafka,Haruki Murakami,"Murakami, Haruki",Hüseyin Can Erkin,"=""605111386X""","=""9786051113869""",4,4.13,Doğan Kitap,Paperback,656,2009,2002,,2015/06/02,,,read,,,,1,0
11858078,İyi ki Erken Öldün,Χρόνης Μίσσιος,"Μίσσιος, Χρόνης","Hronis Missios, Ari Çokona","=""6055819090""","=""9786055819095""",5,4.49,Helikopter,Paperback,222,2009,1985,,2015/06/02,,,read,,,,1,0
1861220,Ağır Roman,Metin Kaçan,"Kaçan, Metin",,"=""""","=""""",4,4.05,Gendaş Kültür,Paperback,144,1997,1990,,2015/06/02,,,read,,,,1,0
16075140,Biletiniz Buraya Kadar,Romain Gary,"Gary, Romain",Aykut Derman,"=""6051031634""","=""9786051031637""",4,3.64,Agora Kitaplığı,Paperback,240,2012,1975,,2015/06/02,,,read,,,,1,0
6317366,Kedi Mektupları,Oya Baydar,"Baydar, Oya",,"=""""","=""""",4,4.03,Can Yayinlari,Paperback,258,2000,1992,,2015/06/02,,,read,,,,1,0
8978461,Çöplüğün Generali,Oya Baydar,"Baydar, Oya",,"=""9750710886""","=""9789750710889""",2,3.76,Can Yayınları,Paperback,262,2009,2009,,2015/06/02,,,read,,,,1,0
519112,The Melancholy Death of Oyster Boy and Other Stories,Tim Burton,"Burton, Tim",,"=""0688156819""","=""9780688156817""",4,4.12,Rob Weisbach Books,Hardcover,115,1997,1997,,2015/06/02,,,read,,,,1,0
9269408,Mülksüzler,Ursula K. Le Guin,"Guin, Ursula K. Le",Levent Mollamustafaoğlu,"=""9757650269""","=""9789753425285""",4,4.24,Metis Yayıncılık,Paperback,328,2013,1974,,2015/06/02,,,read,,,,1,0
8618593,Bahçedeki Gidonları Kromajlı Pırpır da Neyin Nesi?,Georges Perec,"Perec, Georges",Cemal Yardımcı,"=""9753427689""","=""9789753427685""",3,3.86,Metis Yayınları,Paperback,87,2010,1966,,2015/06/02,,,read,,,,1,0
2903330,Uzunharmanlar'da Bir Davetsiz Misafir,Sezgin Kaymaz,"Kaymaz, Sezgin",,"=""9754705984""","=""9789754705980""",4,4.20,İletişim Yayınevi,Paperback,274,2013,1997,,2015/06/02,,,read,,,,1,0
21519568,Bizim Köy,Mahmut Makal,"Makal, Mahmut",,"=""9750404440""","=""9789750404443""",5,4.43,Literatür Yayıncılık,Paperback,166,2008,1950,,2015/06/02,,,read,,,,1,0
20580963,Sarı Traktör,Talip Apaydın,"Apaydın, Talip",,"=""9750404262""","=""9789750404269""",5,3.69,Literatür Yayıncılık,Paperback,194,2007,1958,,2015/06/02,,,read,,,,1,0
20915462,Atları da Vururlar,Horace McCoy,"McCoy, Horace",Ayşe Karasu,"=""9757132276""","=""9789757132271""",4,3.85,Scala Yayıncılık,Paperback,120,2015,1935,,2015/06/02,,,read,,,,1,0
8136147,Muska,Sadık Yemni,"Yemni, Sadık",,"=""""","=""""",3,3.97,Everest Yayınları,Paperback,372,2007,1996,,2015/06/02,,,read,,,,1,0
11534157,Dava,Franz Kafka,"Kafka, Franz",Kâmuran Şipal,"=""9754063745""","=""9789754063745""",4,3.96,Cem Yayınevi,Paperback,347,2000,1925,,2015/06/02,,,read,,,,1,0
7686361,Bir Süre Yere Paralel Gittikten Sonra,Barış Bıçakçı,"Bıçakçı, Barış",,"=""9750505859""","=""9789750505850""",5,4.07,İletişim Yayınları,Paperback,136,2008,2008,,2015/06/02,,,read,,,,1,0
7686395,Bizim Büyük Çaresizliğimiz,Barış Bıçakçı,"Bıçakçı, Barış",,"=""9750502639""","=""9789750502637""",5,4.15,İletişim Yayınları,Paperback,167,2004,2004,,2015/06/02,,,read,,,,1,0
7544517,Korkma Ben Varım,Murat Menteş,"Menteş, Murat",,"=""""","=""9789750507144""",3,4.11,İletişim Yayınları,Paperback,424,2009,2009,,2015/06/02,,,read,,,,1,0
17228450,Damıtılmış Kırmızı,Jeroen Brouwers,"Brouwers, Jeroen",Bahadır Gülmez,"=""9754707030""","=""9789754707038""",2,3.68,İletişim Yayınları ,Paperback,117,1998,1981,,2015/06/02,,,read,,,,1,0
13432330,Dur Bir Mola Ver,Tom Robbins,"Robbins, Tom",Fatma Taşkent,"=""9755391894""","=""9789755391892""",3,3.98,Ayrıntı Yayınları,Paperback,330,1997,1971,,2015/06/02,,,read,,,,1,0
11318079,Görünmez Canavarlar,Chuck Palahniuk,"Palahniuk, Chuck",Funda Uncu,"=""""","=""""",3,4.00,Ayrıntı Yayınları,Paperback,240,2004,1999,,2015/06/02,,,read,,,,1,0
23343027,Mağara,José Saramago,"Saramago, José",Sıla Okur,"=""6054927841""","=""9786054927845""",3,3.88,Kırmızı Kedi Yayınevi,Paperback,330,2014,2000,,2015/06/02,,,read,,,,1,0
22924181,Bilinmeyen Adanın Öyküsü,José Saramago,"Saramago, José","Emrah İmre, Birol Bayram","=""6054927574""","=""9786054927579""",4,3.92,Kırmızı Kedi Yayınevi,Paperback,59,2014,1997,,2015/06/02,,,read,,,,1,0
7114856,The Notebook,José Saramago,"Saramago, José",,"=""1844676145""","=""9781844676149""",5,3.84,Verso,Hardcover,276,2010,2008,,2015/06/02,,,read,,,,1,0
15786891,İsa'ya Göre İncil,José Saramago,"Saramago, José",E. Efe Çakmak,"=""6055340348""","=""9786055340346""",4,4.31,Kırmızı Kedi Yayınevi,Paperback,388,2011,1991,,2015/06/02,,,read,,,,1,0
12995884,Kabil,José Saramago,"Saramago, José",Işık Ergüden,"=""9944756938""","=""9789944756938""",3,3.96,Kırmızı Kedi Yayınevi,Paperback,139,2011,2009,,2015/06/02,,,read,,,,1,0
11746625,Kopyalanmış Adam,José Saramago,"Saramago, José",Emrah İmre,"=""9944888893""","=""9789944888899""",4,3.96,Türkiye İş Bankası Kültür Yayınları,Paperback,308,2010,2002,,2015/06/02,,,read,,,,1,0
7004259,Göçmüş Kediler Bahçesi,Bilge Karasu,"Karasu, Bilge",,"=""9753420633""","=""9789753420631""",4,4.27,Metis Yayınları,Paperback,230,2010,1979,,2015/06/02,,,read,,,,1,0
13081324,"Yusufçuk Yusuf (Akçasazın Ağaları, #2)",Yaşar Kemal,"Kemal, Yaşar",,"=""""","=""9789750807332""",5,4.58,Yapı Kredi Yayınları,Paperback,662,2004,1975,,2015/06/02,,,read,,,,1,0
10445959,"Demirciler Çarşısı Cinayeti (Akçasazın Ağaları, #1)",Yaşar Kemal,"Kemal, Yaşar",,"=""9750807367""","=""9789750807367""",4,4.37,Yapı Kredi Yayınları,Paperback,572,2004,1973,,2015/06/02,,,read,,,,1,0
22813593,Sessizlik Zamanı,Luis Martín-Santos,"Martín-Santos, Luis",Yıldız Ersoy Canpolat,"=""9753631456""","=""9789753631457""",3,3.68,Yapı Kredi Yayınları,Paperback,211,2006,1962,,2015/06/02,,,read,,,,1,0
11425101,Görünmeyen,Paul Auster,"Auster, Paul",Seçkin Sevi,"=""9750711181""","=""9789750711183""",4,3.73,Can Yayınları,Paperback,264,2010,2009,,2015/06/02,,,read,,,,1,0
7348187,İnci Gibi Dişler,Zadie Smith,"Smith, Zadie",,"=""""","=""9789753167611""",3,3.79,Everest Yayınları,Paperback,550,2001,2000,,2015/06/02,,,read,,,,1,0
11542668,Yolda - Orijinal Rulo,Jack Kerouac,"Kerouac, Jack",Can Kantarcı,"=""""","=""9789755395098""",4,4.12,Ayrıntı Yayınları,Paperback,496,2011,1957,,2015/06/02,,,read,,,,1,0
175594,Ağıtlar,Yaşar Kemal,"Kemal, Yaşar",Abidin Dino,"=""""","=""9789750807480""",4,4.16,Yapı Kredi Yayınları,Paperback,272,2011,1992,,2015/06/02,,,read,,,,1,0
7990630,Çavdar Tarlasında Çocuklar,J.D. Salinger,"Salinger, J.D.",Coşkun Yerli,"=""""","=""9789753636369""",4,3.80,Yapı Kredi Yayınları,Paperback,198,2012,1951,,2015/06/02,,,read,,,,1,0
9394765,Firmin: Hümanist Entel Serseri,Sam Savage,"Savage, Sam",Kemal Küçükgedik,"=""9754472637""","=""9789754472639""",4,3.49,Özgür Yayınları,Paperback,157,2009,2006,,2015/06/02,,,read,,,,1,0
6315470,Gizliajans,Alper Canıgüz,"Canıgüz, Alper",,"=""9750506308""","=""9789750506307""",4,3.81,İletişim Yayınları,Paperback,204,2008,2008,,2015/06/02,,,read,,,,1,0
